Fixed parameters: I=9.5 | j=5.5
The set of valid parameters for  1-axis quantization are:
I1=101.0  I2=1.0  I3=51.0 θ=10.0
I1=101.0  I2=1.0  I3=51.0 θ=20.0
I1=101.0  I2=1.0  I3=51.0 θ=30.0
I1=101.0  I2=1.0  I3=51.0 θ=40.0
I1=101.0  I2=1.0  I3=51.0 θ=50.0
I1=101.0  I2=1.0  I3=51.0 θ=60.0
I1=101.0  I2=1.0  I3=51.0 θ=70.0
I1=101.0  I2=1.0  I3=51.0 θ=80.0
I1=101.0  I2=1.0  I3=51.0 θ=90.0
I1=101.0  I2=1.0  I3=51.0 θ=100.0
I1=101.0  I2=1.0  I3=51.0 θ=110.0
I1=101.0  I2=1.0  I3=51.0 θ=120.0
I1=101.0  I2=1.0  I3=51.0 θ=130.0
I1=101.0  I2=1.0  I3=51.0 θ=140.0
I1=101.0  I2=1.0  I3=51.0 θ=150.0
I1=101.0  I2=1.0  I3=51.0 θ=160.0
I1=101.0  I2=1.0  I3=51.0 θ=170.0
I1=101.0  I2=1.0  I3=51.0 θ=180.0
I1=101.0  I2=1.0  I3=61.0 θ=-180.0
I1=101.0  I2=1.0  I3=61.0 θ=-170.0
I1=101.0  I2=1.0  I3=61.0 θ=-160.0
I1=101.0  I2=1.0  I3=61.0 θ=-150.0
I1=101.0  I2=1.0  I3=61.0 θ=-140.0
I1=101.0  I2=1.0  I3=61.0 θ=-130.0
I1=101.0  I2=1.0  I3=61.0 θ=-120.0
I1=101.0  I2=1.0  I3=61.0 θ=-110.0
I1=101.0  I2=1.0  I3=61.0 θ=-100.0
I1=101.0  I2=1.0  I3=61.0 θ=-90.0
I1=101.0  I2=1.0  I3=61.0 θ=-80.0
I1=101.0  I2=1.0  I3=61.0 θ=-70.0
I1=101.0  I2=1.0  I3=61.0 θ=-60.0
I1=101.0  I2=1.0  I3=61.0 θ=-50.0
I1=101.0  I2=1.0  I3=61.0 θ=-40.0
I1=101.0  I2=1.0  I3=61.0 θ=-30.0
I1=101.0  I2=1.0  I3=61.0 θ=-20.0
I1=101.0  I2=1.0  I3=61.0 θ=-10.0
I1=101.0  I2=1.0  I3=61.0 θ=0.0
I1=101.0  I2=1.0  I3=61.0 θ=10.0
I1=101.0  I2=1.0  I3=61.0 θ=20.0
I1=101.0  I2=1.0  I3=61.0 θ=30.0
I1=101.0  I2=1.0  I3=61.0 θ=40.0
I1=101.0  I2=1.0  I3=61.0 θ=50.0
I1=101.0  I2=1.0  I3=61.0 θ=60.0
I1=101.0  I2=1.0  I3=61.0 θ=70.0
I1=101.0  I2=1.0  I3=61.0 θ=80.0
I1=101.0  I2=1.0  I3=61.0 θ=90.0
I1=101.0  I2=1.0  I3=61.0 θ=100.0
I1=101.0  I2=1.0  I3=61.0 θ=110.0
I1=101.0  I2=1.0  I3=61.0 θ=120.0
I1=101.0  I2=1.0  I3=61.0 θ=130.0
I1=101.0  I2=1.0  I3=61.0 θ=140.0
I1=101.0  I2=1.0  I3=61.0 θ=150.0
I1=101.0  I2=1.0  I3=61.0 θ=160.0
I1=101.0  I2=1.0  I3=61.0 θ=170.0
I1=101.0  I2=1.0  I3=61.0 θ=180.0
I1=101.0  I2=1.0  I3=71.0 θ=-180.0
I1=101.0  I2=1.0  I3=71.0 θ=-170.0
I1=101.0  I2=1.0  I3=71.0 θ=-160.0
I1=101.0  I2=1.0  I3=71.0 θ=-150.0
I1=101.0  I2=1.0  I3=71.0 θ=-140.0
I1=101.0  I2=1.0  I3=71.0 θ=-130.0
I1=101.0  I2=1.0  I3=71.0 θ=-120.0
I1=101.0  I2=1.0  I3=71.0 θ=-110.0
I1=101.0  I2=1.0  I3=71.0 θ=-100.0
I1=101.0  I2=1.0  I3=71.0 θ=-90.0
I1=101.0  I2=1.0  I3=71.0 θ=-80.0
I1=101.0  I2=1.0  I3=71.0 θ=-70.0
I1=101.0  I2=1.0  I3=71.0 θ=-60.0
I1=101.0  I2=1.0  I3=71.0 θ=-50.0
I1=101.0  I2=1.0  I3=71.0 θ=-40.0
I1=101.0  I2=1.0  I3=71.0 θ=-30.0
I1=101.0  I2=1.0  I3=71.0 θ=-20.0
I1=101.0  I2=1.0  I3=71.0 θ=-10.0
I1=101.0  I2=1.0  I3=71.0 θ=0.0
I1=101.0  I2=1.0  I3=71.0 θ=10.0
I1=101.0  I2=1.0  I3=71.0 θ=20.0
I1=101.0  I2=1.0  I3=71.0 θ=30.0
I1=101.0  I2=1.0  I3=71.0 θ=40.0
I1=101.0  I2=1.0  I3=71.0 θ=50.0
I1=101.0  I2=1.0  I3=71.0 θ=60.0
I1=101.0  I2=1.0  I3=71.0 θ=70.0
I1=101.0  I2=1.0  I3=71.0 θ=80.0
I1=101.0  I2=1.0  I3=71.0 θ=90.0
I1=101.0  I2=1.0  I3=71.0 θ=100.0
I1=101.0  I2=1.0  I3=71.0 θ=110.0
I1=101.0  I2=1.0  I3=71.0 θ=120.0
I1=101.0  I2=1.0  I3=71.0 θ=130.0
I1=101.0  I2=1.0  I3=71.0 θ=140.0
I1=101.0  I2=1.0  I3=71.0 θ=150.0
I1=101.0  I2=1.0  I3=71.0 θ=160.0
I1=101.0  I2=1.0  I3=71.0 θ=170.0
I1=101.0  I2=1.0  I3=71.0 θ=180.0
I1=101.0  I2=1.0  I3=81.0 θ=-180.0
I1=101.0  I2=1.0  I3=81.0 θ=-170.0
I1=101.0  I2=1.0  I3=81.0 θ=-160.0
I1=101.0  I2=1.0  I3=81.0 θ=-150.0
I1=101.0  I2=1.0  I3=81.0 θ=-140.0
I1=101.0  I2=1.0  I3=81.0 θ=-130.0
I1=101.0  I2=1.0  I3=81.0 θ=-120.0
I1=101.0  I2=1.0  I3=81.0 θ=-110.0
I1=101.0  I2=1.0  I3=81.0 θ=-100.0
I1=101.0  I2=1.0  I3=81.0 θ=-90.0
I1=101.0  I2=1.0  I3=81.0 θ=-80.0
I1=101.0  I2=1.0  I3=81.0 θ=-70.0
I1=101.0  I2=1.0  I3=81.0 θ=-60.0
I1=101.0  I2=1.0  I3=81.0 θ=-50.0
I1=101.0  I2=1.0  I3=81.0 θ=-40.0
I1=101.0  I2=1.0  I3=81.0 θ=-30.0
I1=101.0  I2=1.0  I3=81.0 θ=-20.0
I1=101.0  I2=1.0  I3=81.0 θ=-10.0
I1=101.0  I2=1.0  I3=81.0 θ=0.0
I1=101.0  I2=1.0  I3=81.0 θ=10.0
I1=101.0  I2=1.0  I3=81.0 θ=20.0
I1=101.0  I2=1.0  I3=81.0 θ=30.0
I1=101.0  I2=1.0  I3=81.0 θ=40.0
I1=101.0  I2=1.0  I3=81.0 θ=50.0
I1=101.0  I2=1.0  I3=81.0 θ=60.0
I1=101.0  I2=1.0  I3=81.0 θ=70.0
I1=101.0  I2=1.0  I3=81.0 θ=80.0
I1=101.0  I2=1.0  I3=81.0 θ=90.0
I1=101.0  I2=1.0  I3=81.0 θ=100.0
I1=101.0  I2=1.0  I3=81.0 θ=110.0
I1=101.0  I2=1.0  I3=81.0 θ=120.0
I1=101.0  I2=1.0  I3=81.0 θ=130.0
I1=101.0  I2=1.0  I3=81.0 θ=140.0
I1=101.0  I2=1.0  I3=81.0 θ=150.0
I1=101.0  I2=1.0  I3=81.0 θ=160.0
I1=101.0  I2=1.0  I3=81.0 θ=170.0
I1=101.0  I2=1.0  I3=81.0 θ=180.0
I1=101.0  I2=1.0  I3=91.0 θ=-180.0
I1=101.0  I2=1.0  I3=91.0 θ=-170.0
I1=101.0  I2=1.0  I3=91.0 θ=-160.0
I1=101.0  I2=1.0  I3=91.0 θ=-150.0
I1=101.0  I2=1.0  I3=91.0 θ=-140.0
I1=101.0  I2=1.0  I3=91.0 θ=-130.0
I1=101.0  I2=1.0  I3=91.0 θ=-120.0
I1=101.0  I2=1.0  I3=91.0 θ=-110.0
I1=101.0  I2=1.0  I3=91.0 θ=-100.0
I1=101.0  I2=1.0  I3=91.0 θ=-90.0
I1=101.0  I2=1.0  I3=91.0 θ=-80.0
I1=101.0  I2=1.0  I3=91.0 θ=-70.0
I1=101.0  I2=1.0  I3=91.0 θ=-60.0
I1=101.0  I2=1.0  I3=91.0 θ=-50.0
I1=101.0  I2=1.0  I3=91.0 θ=-40.0
I1=101.0  I2=1.0  I3=91.0 θ=-30.0
I1=101.0  I2=1.0  I3=91.0 θ=-20.0
I1=101.0  I2=1.0  I3=91.0 θ=-10.0
I1=101.0  I2=1.0  I3=91.0 θ=0.0
I1=101.0  I2=1.0  I3=91.0 θ=10.0
I1=101.0  I2=1.0  I3=91.0 θ=20.0
I1=101.0  I2=1.0  I3=91.0 θ=30.0
I1=101.0  I2=1.0  I3=91.0 θ=40.0
I1=101.0  I2=1.0  I3=91.0 θ=50.0
I1=101.0  I2=1.0  I3=91.0 θ=60.0
I1=101.0  I2=1.0  I3=91.0 θ=70.0
I1=101.0  I2=1.0  I3=91.0 θ=80.0
I1=101.0  I2=1.0  I3=91.0 θ=90.0
I1=101.0  I2=1.0  I3=91.0 θ=100.0
I1=101.0  I2=1.0  I3=91.0 θ=110.0
I1=101.0  I2=1.0  I3=91.0 θ=120.0
I1=101.0  I2=1.0  I3=91.0 θ=130.0
I1=101.0  I2=1.0  I3=91.0 θ=140.0
I1=101.0  I2=1.0  I3=91.0 θ=150.0
I1=101.0  I2=1.0  I3=91.0 θ=160.0
I1=101.0  I2=1.0  I3=91.0 θ=170.0
I1=101.0  I2=1.0  I3=91.0 θ=180.0
I1=101.0  I2=11.0  I3=21.0 θ=-180.0
I1=101.0  I2=11.0  I3=21.0 θ=-170.0
I1=101.0  I2=11.0  I3=21.0 θ=-160.0
I1=101.0  I2=11.0  I3=21.0 θ=-150.0
I1=101.0  I2=11.0  I3=21.0 θ=-140.0
I1=101.0  I2=11.0  I3=21.0 θ=-130.0
I1=101.0  I2=11.0  I3=21.0 θ=-120.0
I1=101.0  I2=11.0  I3=21.0 θ=-110.0
I1=101.0  I2=11.0  I3=21.0 θ=-100.0
I1=101.0  I2=11.0  I3=21.0 θ=-90.0
I1=101.0  I2=11.0  I3=21.0 θ=-80.0
I1=101.0  I2=11.0  I3=21.0 θ=-70.0
I1=101.0  I2=11.0  I3=21.0 θ=-60.0
I1=101.0  I2=11.0  I3=21.0 θ=-50.0
I1=101.0  I2=11.0  I3=21.0 θ=-40.0
I1=101.0  I2=11.0  I3=21.0 θ=-30.0
I1=101.0  I2=11.0  I3=21.0 θ=-20.0
I1=101.0  I2=11.0  I3=21.0 θ=-10.0
I1=101.0  I2=11.0  I3=21.0 θ=0.0
I1=101.0  I2=11.0  I3=21.0 θ=10.0
I1=101.0  I2=11.0  I3=21.0 θ=20.0
I1=101.0  I2=11.0  I3=21.0 θ=30.0
I1=101.0  I2=11.0  I3=21.0 θ=40.0
I1=101.0  I2=11.0  I3=21.0 θ=50.0
I1=101.0  I2=11.0  I3=21.0 θ=130.0
I1=101.0  I2=11.0  I3=21.0 θ=140.0
I1=101.0  I2=11.0  I3=21.0 θ=150.0
I1=101.0  I2=11.0  I3=21.0 θ=160.0
I1=101.0  I2=11.0  I3=21.0 θ=170.0
I1=101.0  I2=11.0  I3=21.0 θ=180.0
I1=101.0  I2=11.0  I3=31.0 θ=-180.0
I1=101.0  I2=11.0  I3=31.0 θ=-170.0
I1=101.0  I2=11.0  I3=31.0 θ=-160.0
I1=101.0  I2=11.0  I3=31.0 θ=-150.0
I1=101.0  I2=11.0  I3=31.0 θ=-140.0
I1=101.0  I2=11.0  I3=31.0 θ=-130.0
I1=101.0  I2=11.0  I3=31.0 θ=-120.0
I1=101.0  I2=11.0  I3=31.0 θ=-110.0
I1=101.0  I2=11.0  I3=31.0 θ=-100.0
I1=101.0  I2=11.0  I3=31.0 θ=-90.0
I1=101.0  I2=11.0  I3=31.0 θ=-80.0
I1=101.0  I2=11.0  I3=31.0 θ=-70.0
I1=101.0  I2=11.0  I3=31.0 θ=-60.0
I1=101.0  I2=11.0  I3=31.0 θ=-50.0
I1=101.0  I2=11.0  I3=31.0 θ=-40.0
I1=101.0  I2=11.0  I3=31.0 θ=-30.0
I1=101.0  I2=11.0  I3=31.0 θ=-20.0
I1=101.0  I2=11.0  I3=31.0 θ=-10.0
I1=101.0  I2=11.0  I3=31.0 θ=0.0
I1=101.0  I2=11.0  I3=31.0 θ=10.0
I1=101.0  I2=11.0  I3=31.0 θ=20.0
I1=101.0  I2=11.0  I3=31.0 θ=30.0
I1=101.0  I2=11.0  I3=31.0 θ=40.0
I1=101.0  I2=11.0  I3=31.0 θ=50.0
I1=101.0  I2=11.0  I3=31.0 θ=60.0
I1=101.0  I2=11.0  I3=31.0 θ=70.0
I1=101.0  I2=11.0  I3=31.0 θ=80.0
I1=101.0  I2=11.0  I3=31.0 θ=90.0
I1=101.0  I2=11.0  I3=31.0 θ=100.0
I1=101.0  I2=11.0  I3=31.0 θ=110.0
I1=101.0  I2=11.0  I3=31.0 θ=120.0
I1=101.0  I2=11.0  I3=31.0 θ=130.0
I1=101.0  I2=11.0  I3=31.0 θ=140.0
I1=101.0  I2=11.0  I3=31.0 θ=150.0
I1=101.0  I2=11.0  I3=31.0 θ=160.0
I1=101.0  I2=11.0  I3=31.0 θ=170.0
I1=101.0  I2=11.0  I3=31.0 θ=180.0
I1=101.0  I2=11.0  I3=41.0 θ=-180.0
I1=101.0  I2=11.0  I3=41.0 θ=-170.0
I1=101.0  I2=11.0  I3=41.0 θ=-160.0
I1=101.0  I2=11.0  I3=41.0 θ=-150.0
I1=101.0  I2=11.0  I3=41.0 θ=-140.0
I1=101.0  I2=11.0  I3=41.0 θ=-130.0
I1=101.0  I2=11.0  I3=41.0 θ=-120.0
I1=101.0  I2=11.0  I3=41.0 θ=-110.0
I1=101.0  I2=11.0  I3=41.0 θ=-100.0
I1=101.0  I2=11.0  I3=41.0 θ=-90.0
I1=101.0  I2=11.0  I3=41.0 θ=-80.0
I1=101.0  I2=11.0  I3=41.0 θ=-70.0
I1=101.0  I2=11.0  I3=41.0 θ=-60.0
I1=101.0  I2=11.0  I3=41.0 θ=-50.0
I1=101.0  I2=11.0  I3=41.0 θ=-40.0
I1=101.0  I2=11.0  I3=41.0 θ=-30.0
I1=101.0  I2=11.0  I3=41.0 θ=-20.0
I1=101.0  I2=11.0  I3=41.0 θ=-10.0
I1=101.0  I2=11.0  I3=41.0 θ=0.0
I1=101.0  I2=11.0  I3=41.0 θ=10.0
I1=101.0  I2=11.0  I3=41.0 θ=20.0
I1=101.0  I2=11.0  I3=41.0 θ=30.0
I1=101.0  I2=11.0  I3=41.0 θ=40.0
I1=101.0  I2=11.0  I3=41.0 θ=50.0
I1=101.0  I2=11.0  I3=41.0 θ=60.0
I1=101.0  I2=11.0  I3=41.0 θ=70.0
I1=101.0  I2=11.0  I3=41.0 θ=80.0
I1=101.0  I2=11.0  I3=41.0 θ=90.0
I1=101.0  I2=11.0  I3=41.0 θ=100.0
I1=101.0  I2=11.0  I3=41.0 θ=110.0
I1=101.0  I2=11.0  I3=41.0 θ=120.0
I1=101.0  I2=11.0  I3=41.0 θ=130.0
I1=101.0  I2=11.0  I3=41.0 θ=140.0
I1=101.0  I2=11.0  I3=41.0 θ=150.0
I1=101.0  I2=11.0  I3=41.0 θ=160.0
I1=101.0  I2=11.0  I3=41.0 θ=170.0
I1=101.0  I2=11.0  I3=41.0 θ=180.0
I1=101.0  I2=11.0  I3=51.0 θ=-180.0
I1=101.0  I2=11.0  I3=51.0 θ=-170.0
I1=101.0  I2=11.0  I3=51.0 θ=-160.0
I1=101.0  I2=11.0  I3=51.0 θ=-150.0
I1=101.0  I2=11.0  I3=51.0 θ=-140.0
I1=101.0  I2=11.0  I3=51.0 θ=-130.0
I1=101.0  I2=11.0  I3=51.0 θ=-120.0
I1=101.0  I2=11.0  I3=51.0 θ=-110.0
I1=101.0  I2=11.0  I3=51.0 θ=-100.0
I1=101.0  I2=11.0  I3=51.0 θ=-90.0
I1=101.0  I2=11.0  I3=51.0 θ=-80.0
I1=101.0  I2=11.0  I3=51.0 θ=-70.0
I1=101.0  I2=11.0  I3=51.0 θ=-60.0
I1=101.0  I2=11.0  I3=51.0 θ=-50.0
I1=101.0  I2=11.0  I3=51.0 θ=-40.0
I1=101.0  I2=11.0  I3=51.0 θ=-30.0
I1=101.0  I2=11.0  I3=51.0 θ=-20.0
I1=101.0  I2=11.0  I3=51.0 θ=-10.0
I1=101.0  I2=11.0  I3=51.0 θ=0.0
I1=101.0  I2=11.0  I3=51.0 θ=10.0
I1=101.0  I2=11.0  I3=51.0 θ=20.0
I1=101.0  I2=11.0  I3=51.0 θ=30.0
I1=101.0  I2=11.0  I3=51.0 θ=40.0
I1=101.0  I2=11.0  I3=51.0 θ=50.0
I1=101.0  I2=11.0  I3=51.0 θ=60.0
I1=101.0  I2=11.0  I3=51.0 θ=70.0
I1=101.0  I2=11.0  I3=51.0 θ=80.0
I1=101.0  I2=11.0  I3=51.0 θ=90.0
I1=101.0  I2=11.0  I3=51.0 θ=100.0
I1=101.0  I2=11.0  I3=51.0 θ=110.0
I1=101.0  I2=11.0  I3=51.0 θ=120.0
I1=101.0  I2=11.0  I3=51.0 θ=130.0
I1=101.0  I2=11.0  I3=51.0 θ=140.0
I1=101.0  I2=11.0  I3=51.0 θ=150.0
I1=101.0  I2=11.0  I3=51.0 θ=160.0
I1=101.0  I2=11.0  I3=51.0 θ=170.0
I1=101.0  I2=11.0  I3=51.0 θ=180.0
I1=101.0  I2=11.0  I3=61.0 θ=-180.0
I1=101.0  I2=11.0  I3=61.0 θ=-170.0
I1=101.0  I2=11.0  I3=61.0 θ=-160.0
I1=101.0  I2=11.0  I3=61.0 θ=-150.0
I1=101.0  I2=11.0  I3=61.0 θ=-140.0
I1=101.0  I2=11.0  I3=61.0 θ=-130.0
I1=101.0  I2=11.0  I3=61.0 θ=-120.0
I1=101.0  I2=11.0  I3=61.0 θ=-110.0
I1=101.0  I2=11.0  I3=61.0 θ=-100.0
I1=101.0  I2=11.0  I3=61.0 θ=-90.0
I1=101.0  I2=11.0  I3=61.0 θ=-80.0
I1=101.0  I2=11.0  I3=61.0 θ=-70.0
I1=101.0  I2=11.0  I3=61.0 θ=-60.0
I1=101.0  I2=11.0  I3=61.0 θ=-50.0
I1=101.0  I2=11.0  I3=61.0 θ=-40.0
I1=101.0  I2=11.0  I3=61.0 θ=-30.0
I1=101.0  I2=11.0  I3=61.0 θ=-20.0
I1=101.0  I2=11.0  I3=61.0 θ=-10.0
I1=101.0  I2=11.0  I3=61.0 θ=0.0
I1=101.0  I2=11.0  I3=61.0 θ=10.0
I1=101.0  I2=11.0  I3=61.0 θ=20.0
I1=101.0  I2=11.0  I3=61.0 θ=30.0
I1=101.0  I2=11.0  I3=61.0 θ=40.0
I1=101.0  I2=11.0  I3=61.0 θ=50.0
I1=101.0  I2=11.0  I3=61.0 θ=60.0
I1=101.0  I2=11.0  I3=61.0 θ=70.0
I1=101.0  I2=11.0  I3=61.0 θ=80.0
I1=101.0  I2=11.0  I3=61.0 θ=90.0
I1=101.0  I2=11.0  I3=61.0 θ=100.0
I1=101.0  I2=11.0  I3=61.0 θ=110.0
I1=101.0  I2=11.0  I3=61.0 θ=120.0
I1=101.0  I2=11.0  I3=61.0 θ=130.0
I1=101.0  I2=11.0  I3=61.0 θ=140.0
I1=101.0  I2=11.0  I3=61.0 θ=150.0
I1=101.0  I2=11.0  I3=61.0 θ=160.0
I1=101.0  I2=11.0  I3=61.0 θ=170.0
I1=101.0  I2=11.0  I3=61.0 θ=180.0
I1=101.0  I2=11.0  I3=71.0 θ=-180.0
I1=101.0  I2=11.0  I3=71.0 θ=-170.0
I1=101.0  I2=11.0  I3=71.0 θ=-160.0
I1=101.0  I2=11.0  I3=71.0 θ=-150.0
I1=101.0  I2=11.0  I3=71.0 θ=-140.0
I1=101.0  I2=11.0  I3=71.0 θ=-130.0
I1=101.0  I2=11.0  I3=71.0 θ=-120.0
I1=101.0  I2=11.0  I3=71.0 θ=-110.0
I1=101.0  I2=11.0  I3=71.0 θ=-100.0
I1=101.0  I2=11.0  I3=71.0 θ=-90.0
I1=101.0  I2=11.0  I3=71.0 θ=-80.0
I1=101.0  I2=11.0  I3=71.0 θ=-70.0
I1=101.0  I2=11.0  I3=71.0 θ=-60.0
I1=101.0  I2=11.0  I3=71.0 θ=-50.0
I1=101.0  I2=11.0  I3=71.0 θ=-40.0
I1=101.0  I2=11.0  I3=71.0 θ=-30.0
I1=101.0  I2=11.0  I3=71.0 θ=-20.0
I1=101.0  I2=11.0  I3=71.0 θ=-10.0
I1=101.0  I2=11.0  I3=71.0 θ=0.0
I1=101.0  I2=11.0  I3=71.0 θ=10.0
I1=101.0  I2=11.0  I3=71.0 θ=20.0
I1=101.0  I2=11.0  I3=71.0 θ=30.0
I1=101.0  I2=11.0  I3=71.0 θ=40.0
I1=101.0  I2=11.0  I3=71.0 θ=50.0
I1=101.0  I2=11.0  I3=71.0 θ=60.0
I1=101.0  I2=11.0  I3=71.0 θ=70.0
I1=101.0  I2=11.0  I3=71.0 θ=80.0
I1=101.0  I2=11.0  I3=71.0 θ=90.0
I1=101.0  I2=11.0  I3=71.0 θ=100.0
I1=101.0  I2=11.0  I3=71.0 θ=110.0
I1=101.0  I2=11.0  I3=71.0 θ=120.0
I1=101.0  I2=11.0  I3=71.0 θ=130.0
I1=101.0  I2=11.0  I3=71.0 θ=140.0
I1=101.0  I2=11.0  I3=71.0 θ=150.0
I1=101.0  I2=11.0  I3=71.0 θ=160.0
I1=101.0  I2=11.0  I3=71.0 θ=170.0
I1=101.0  I2=11.0  I3=71.0 θ=180.0
I1=101.0  I2=11.0  I3=81.0 θ=-180.0
I1=101.0  I2=11.0  I3=81.0 θ=-170.0
I1=101.0  I2=11.0  I3=81.0 θ=-160.0
I1=101.0  I2=11.0  I3=81.0 θ=-150.0
I1=101.0  I2=11.0  I3=81.0 θ=-140.0
I1=101.0  I2=11.0  I3=81.0 θ=-130.0
I1=101.0  I2=11.0  I3=81.0 θ=-120.0
I1=101.0  I2=11.0  I3=81.0 θ=-110.0
I1=101.0  I2=11.0  I3=81.0 θ=-100.0
I1=101.0  I2=11.0  I3=81.0 θ=-90.0
I1=101.0  I2=11.0  I3=81.0 θ=-80.0
I1=101.0  I2=11.0  I3=81.0 θ=-70.0
I1=101.0  I2=11.0  I3=81.0 θ=-60.0
I1=101.0  I2=11.0  I3=81.0 θ=-50.0
I1=101.0  I2=11.0  I3=81.0 θ=-40.0
I1=101.0  I2=11.0  I3=81.0 θ=-30.0
I1=101.0  I2=11.0  I3=81.0 θ=-20.0
I1=101.0  I2=11.0  I3=81.0 θ=-10.0
I1=101.0  I2=11.0  I3=81.0 θ=0.0
I1=101.0  I2=11.0  I3=81.0 θ=10.0
I1=101.0  I2=11.0  I3=81.0 θ=20.0
I1=101.0  I2=11.0  I3=81.0 θ=30.0
I1=101.0  I2=11.0  I3=81.0 θ=40.0
I1=101.0  I2=11.0  I3=81.0 θ=50.0
I1=101.0  I2=11.0  I3=81.0 θ=60.0
I1=101.0  I2=11.0  I3=81.0 θ=70.0
I1=101.0  I2=11.0  I3=81.0 θ=80.0
I1=101.0  I2=11.0  I3=81.0 θ=90.0
I1=101.0  I2=11.0  I3=81.0 θ=100.0
I1=101.0  I2=11.0  I3=81.0 θ=110.0
I1=101.0  I2=11.0  I3=81.0 θ=120.0
I1=101.0  I2=11.0  I3=81.0 θ=130.0
I1=101.0  I2=11.0  I3=81.0 θ=140.0
I1=101.0  I2=11.0  I3=81.0 θ=150.0
I1=101.0  I2=11.0  I3=81.0 θ=160.0
I1=101.0  I2=11.0  I3=81.0 θ=170.0
I1=101.0  I2=11.0  I3=81.0 θ=180.0
I1=101.0  I2=11.0  I3=91.0 θ=-180.0
I1=101.0  I2=11.0  I3=91.0 θ=-170.0
I1=101.0  I2=11.0  I3=91.0 θ=-160.0
I1=101.0  I2=11.0  I3=91.0 θ=-150.0
I1=101.0  I2=11.0  I3=91.0 θ=-140.0
I1=101.0  I2=11.0  I3=91.0 θ=-130.0
I1=101.0  I2=11.0  I3=91.0 θ=-120.0
I1=101.0  I2=11.0  I3=91.0 θ=-110.0
I1=101.0  I2=11.0  I3=91.0 θ=-100.0
I1=101.0  I2=11.0  I3=91.0 θ=-90.0
I1=101.0  I2=11.0  I3=91.0 θ=-80.0
I1=101.0  I2=11.0  I3=91.0 θ=-70.0
I1=101.0  I2=11.0  I3=91.0 θ=-60.0
I1=101.0  I2=11.0  I3=91.0 θ=-50.0
I1=101.0  I2=11.0  I3=91.0 θ=-40.0
I1=101.0  I2=11.0  I3=91.0 θ=-30.0
I1=101.0  I2=11.0  I3=91.0 θ=-20.0
I1=101.0  I2=11.0  I3=91.0 θ=-10.0
I1=101.0  I2=11.0  I3=91.0 θ=0.0
I1=101.0  I2=11.0  I3=91.0 θ=10.0
I1=101.0  I2=11.0  I3=91.0 θ=20.0
I1=101.0  I2=11.0  I3=91.0 θ=30.0
I1=101.0  I2=11.0  I3=91.0 θ=40.0
I1=101.0  I2=11.0  I3=91.0 θ=50.0
I1=101.0  I2=11.0  I3=91.0 θ=60.0
I1=101.0  I2=11.0  I3=91.0 θ=70.0
I1=101.0  I2=11.0  I3=91.0 θ=80.0
I1=101.0  I2=11.0  I3=91.0 θ=90.0
I1=101.0  I2=11.0  I3=91.0 θ=100.0
I1=101.0  I2=11.0  I3=91.0 θ=110.0
I1=101.0  I2=11.0  I3=91.0 θ=120.0
I1=101.0  I2=11.0  I3=91.0 θ=130.0
I1=101.0  I2=11.0  I3=91.0 θ=140.0
I1=101.0  I2=11.0  I3=91.0 θ=150.0
I1=101.0  I2=11.0  I3=91.0 θ=160.0
I1=101.0  I2=11.0  I3=91.0 θ=170.0
I1=101.0  I2=11.0  I3=91.0 θ=180.0
I1=101.0  I2=21.0  I3=31.0 θ=-180.0
I1=101.0  I2=21.0  I3=31.0 θ=-170.0
I1=101.0  I2=21.0  I3=31.0 θ=-160.0
I1=101.0  I2=21.0  I3=31.0 θ=-150.0
I1=101.0  I2=21.0  I3=31.0 θ=-140.0
I1=101.0  I2=21.0  I3=31.0 θ=-130.0
I1=101.0  I2=21.0  I3=31.0 θ=-120.0
I1=101.0  I2=21.0  I3=31.0 θ=-110.0
I1=101.0  I2=21.0  I3=31.0 θ=-100.0
I1=101.0  I2=21.0  I3=31.0 θ=-90.0
I1=101.0  I2=21.0  I3=31.0 θ=-80.0
I1=101.0  I2=21.0  I3=31.0 θ=-70.0
I1=101.0  I2=21.0  I3=31.0 θ=-60.0
I1=101.0  I2=21.0  I3=31.0 θ=-50.0
I1=101.0  I2=21.0  I3=31.0 θ=-40.0
I1=101.0  I2=21.0  I3=31.0 θ=-30.0
I1=101.0  I2=21.0  I3=31.0 θ=-20.0
I1=101.0  I2=21.0  I3=31.0 θ=-10.0
I1=101.0  I2=21.0  I3=31.0 θ=0.0
I1=101.0  I2=21.0  I3=31.0 θ=10.0
I1=101.0  I2=21.0  I3=31.0 θ=20.0
I1=101.0  I2=21.0  I3=31.0 θ=30.0
I1=101.0  I2=21.0  I3=31.0 θ=150.0
I1=101.0  I2=21.0  I3=31.0 θ=160.0
I1=101.0  I2=21.0  I3=31.0 θ=170.0
I1=101.0  I2=21.0  I3=31.0 θ=180.0
I1=101.0  I2=21.0  I3=41.0 θ=-180.0
I1=101.0  I2=21.0  I3=41.0 θ=-170.0
I1=101.0  I2=21.0  I3=41.0 θ=-160.0
I1=101.0  I2=21.0  I3=41.0 θ=-150.0
I1=101.0  I2=21.0  I3=41.0 θ=-140.0
I1=101.0  I2=21.0  I3=41.0 θ=-130.0
I1=101.0  I2=21.0  I3=41.0 θ=-120.0
I1=101.0  I2=21.0  I3=41.0 θ=-110.0
